2019-12-27 00:00:00 Launching analysis for 1401383834 with LEAN Engine v2.5.0.0
2020-02-05 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $318.85
2020-02-06 16:00:00 2020-02-06 15:55:00 >> Portfolio Value: $101836.72, Cash: $80942.47
2020-02-06 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $321.45
2020-02-07 16:00:00 2020-02-07 15:55:00 >> Portfolio Value: $102131.17, Cash: $80992.52
2020-02-07 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $325.21
2020-02-10 16:00:00 2020-02-10 15:55:00 >> Portfolio Value: $101794.47, Cash: $80992.52
2020-02-10 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $320.03
2020-02-11 16:00:00 2020-02-11 15:55:00 >> Portfolio Value: $101893.27, Cash: $80992.52
2020-02-11 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $321.55
2020-02-12 16:00:00 2020-02-12 15:55:00 >> Portfolio Value: $101767.17, Cash: $80992.52
2020-02-12 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $319.61
2020-02-13 16:00:00 2020-02-13 15:55:00 >> Portfolio Value: $102260.52, Cash: $80992.52
2020-02-13 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $327.20
2020-02-14 16:00:00 2020-02-14 15:55:00 >> Portfolio Value: $102109.07, Cash: $80992.52
2020-02-14 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $324.87
2020-02-18 16:00:00 2020-02-18 15:55:00 >> Portfolio Value: $102114.27, Cash: $80992.52
2020-02-18 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $324.95
2020-02-19 16:00:00 2020-02-19 15:55:00 >> Portfolio Value: $101727.52, Cash: $80992.52
2020-02-19 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $319.00
2020-02-20 16:00:00 2020-02-20 15:55:00 >> Portfolio Value: $102027.82, Cash: $80992.52
2020-02-20 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $323.62
2020-02-21 16:00:00 2020-02-21 15:55:00 >> Portfolio Value: $101812.02, Cash: $80992.52
2020-02-21 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $320.30
2020-02-24 16:00:00 2020-02-24 15:55:00 >> Portfolio Value: $101340.77, Cash: $80992.52
2020-02-24 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $313.05
2020-02-25 16:00:00 Warning: all market orders sent using daily data, or market orders sent after hours are automatically converted into MarketOnOpen orders.
2020-02-25 16:00:00 2020-02-25 15:55:00 >> Portfolio Value: $100374.22, Cash: $80992.52
2020-02-25 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $298.18
2020-02-25 16:00:00 2020-02-25 16:00:00 >> DCA: Bought additional 6 shares of AAPL at $288.08 (price dropped 5% below last buy)
2020-02-26 16:00:00 2020-02-26 15:55:00 >> Portfolio Value: $99717.72, Cash: $80992.52
2020-02-26 16:00:00    AAPL: 65.0 shares, Avg Price: $293.65, Current: $288.08
2020-02-27 16:00:00 2020-02-27 15:55:00 >> Portfolio Value: $100050.55, Cash: $79272.40
2020-02-27 16:00:00    AAPL: 71.0 shares, Avg Price: $293.05, Current: $292.65
2020-02-27 16:00:00 2020-02-27 16:00:00 >> DCA: Bought additional 7 shares of AAPL at $273.52 (price dropped 5% below last buy)
2020-02-28 16:00:00 2020-02-28 15:55:00 >> Portfolio Value: $98692.32, Cash: $79272.40
2020-02-28 16:00:00    AAPL: 71.0 shares, Avg Price: $293.05, Current: $273.52
2020-03-02 10:00:00 2020-03-02 10:00:00 >> Monthly rebalancing to target allocations
2020-03-02 10:00:00 2020-03-02 10:00:00 >> Skipping MSFT: No data available.
2020-03-02 10:00:00 2020-03-02 10:00:00 >> Skipping XOM: No data available.
2020-03-02 10:00:00 2020-03-02 10:00:00 >> Skipping GOLD: No data available.
2020-03-02 10:00:00 2020-03-02 10:00:00 >> Skipping NEE: No data available.
2020-03-02 16:00:00 2020-03-02 15:55:00 >> Portfolio Value: $98790.40, Cash: $79108.48
2020-03-02 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $273.36
2020-03-03 16:00:00 2020-03-03 15:55:00 >> Portfolio Value: $100622.80, Cash: $79108.48
2020-03-03 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $298.81
2020-03-04 16:00:00 2020-03-04 15:55:00 >> Portfolio Value: $99939.52, Cash: $79108.48
2020-03-04 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $289.32
2020-03-04 16:00:00 2020-03-04 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $302.74 (+10% from last buy)
2020-03-05 16:00:00 2020-03-05 15:55:00 >> Portfolio Value: $100905.76, Cash: $79108.48
2020-03-05 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $302.74
2020-03-06 16:00:00 2020-03-06 15:55:00 >> Portfolio Value: $100198.72, Cash: $79108.48
2020-03-06 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $292.92
2020-03-09 16:00:00 2020-03-09 15:55:00 >> Portfolio Value: $99918.64, Cash: $79108.48
2020-03-09 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $289.03
2020-03-10 16:00:00 2020-03-10 15:55:00 >> Portfolio Value: $98272.72, Cash: $79108.48
2020-03-10 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $266.17
2020-03-11 16:00:00 2020-03-11 15:55:00 >> Portfolio Value: $99652.96, Cash: $79108.48
2020-03-11 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $285.34
2020-03-12 16:00:00 2020-03-12 15:55:00 >> Portfolio Value: $98939.44, Cash: $79108.48
2020-03-12 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $275.43
2020-03-12 16:00:00 2020-03-12 16:00:00 >> DCA: Bought additional 7 shares of AAPL at $248.23 (price dropped 5% below last buy)
2020-03-13 16:00:00 2020-03-13 15:55:00 >> Portfolio Value: $96981.04, Cash: $79108.48
2020-03-13 16:00:00    AAPL: 72.0 shares, Avg Price: $289.85, Current: $248.23
2020-03-13 16:00:00 2020-03-13 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $277.97 (+10% from last buy)
2020-03-16 16:00:00 2020-03-16 15:55:00 >> Portfolio Value: $99212.11, Cash: $77252.48
2020-03-16 16:00:00    AAPL: 79.0 shares, Avg Price: $287.65, Current: $277.97
2020-03-17 16:00:00 2020-03-17 15:55:00 >> Portfolio Value: $96387.07, Cash: $77252.48
2020-03-17 16:00:00    AAPL: 79.0 shares, Avg Price: $287.65, Current: $242.21
2020-03-18 16:00:00 2020-03-18 15:55:00 >> Portfolio Value: $97228.42, Cash: $77252.48
2020-03-18 16:00:00    AAPL: 79.0 shares, Avg Price: $287.65, Current: $252.86
2020-03-19 16:00:00 2020-03-19 15:55:00 >> Portfolio Value: $96739.41, Cash: $77252.48
2020-03-19 16:00:00    AAPL: 79.0 shares, Avg Price: $287.65, Current: $246.67
2020-03-20 16:00:00 2020-03-20 15:55:00 >> Portfolio Value: $96590.10, Cash: $77252.48
2020-03-20 16:00:00    AAPL: 79.0 shares, Avg Price: $287.65, Current: $244.78
2020-03-20 16:00:00 2020-03-20 16:00:00 >> DCA: Bought additional 7 shares of AAPL at $229.24 (price dropped 5% below last buy)
2020-03-23 16:00:00 2020-03-23 15:55:00 >> Portfolio Value: $95362.44, Cash: $77252.48
2020-03-23 16:00:00    AAPL: 79.0 shares, Avg Price: $287.65, Current: $229.24
2020-03-24 16:00:00 2020-03-24 15:55:00 >> Portfolio Value: $94952.28, Cash: $75656.46
2020-03-24 16:00:00    AAPL: 86.0 shares, Avg Price: $282.78, Current: $224.37
2020-03-25 16:00:00 2020-03-25 15:55:00 >> Portfolio Value: $96888.14, Cash: $75656.46
2020-03-25 16:00:00    AAPL: 86.0 shares, Avg Price: $282.78, Current: $246.88
2020-03-26 16:00:00 2020-03-26 15:55:00 >> Portfolio Value: $96771.18, Cash: $75656.46
2020-03-26 16:00:00    AAPL: 86.0 shares, Avg Price: $282.78, Current: $245.52
2020-03-26 16:00:00 2020-03-26 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $258.44 (+10% from last buy)
2020-03-27 16:00:00 2020-03-27 15:55:00 >> Portfolio Value: $97882.30, Cash: $75656.46
2020-03-27 16:00:00    AAPL: 86.0 shares, Avg Price: $282.78, Current: $258.44
2020-03-30 16:00:00 2020-03-30 15:55:00 >> Portfolio Value: $96962.10, Cash: $75656.46
2020-03-30 16:00:00    AAPL: 86.0 shares, Avg Price: $282.78, Current: $247.74
2020-03-30 16:00:00 2020-03-30 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $254.81 (+10% from last buy)
2020-03-31 16:00:00 2020-03-31 15:55:00 >> Portfolio Value: $97570.12, Cash: $75656.46
2020-03-31 16:00:00    AAPL: 86.0 shares, Avg Price: $282.78, Current: $254.81
2020-03-31 16:00:00 2020-03-31 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $254.29 (+10% from last buy)
2020-04-01 10:00:00 2020-04-01 10:00:00 >> Monthly rebalancing to target allocations
2020-04-01 10:00:00 2020-04-01 10:00:00 >> Skipping MSFT: No data available.
2020-04-01 10:00:00 2020-04-01 10:00:00 >> Skipping XOM: No data available.
2020-04-01 10:00:00 2020-04-01 10:00:00 >> Skipping GOLD: No data available.
2020-04-01 10:00:00 2020-04-01 10:00:00 >> Skipping NEE: No data available.
2020-04-01 16:00:00 2020-04-01 15:55:00 >> Portfolio Value: $97524.40, Cash: $78198.36
2020-04-01 16:00:00    AAPL: 76.0 shares, Avg Price: $282.78, Current: $254.29
2020-04-01 16:00:00 2020-04-01 16:00:00 >> DCA: Bought additional 7 shares of AAPL at $240.91 (price dropped 5% below last buy)
2020-04-02 16:00:00 2020-04-02 15:55:00 >> Portfolio Value: $96507.52, Cash: $78198.36
2020-04-02 16:00:00    AAPL: 76.0 shares, Avg Price: $282.78, Current: $240.91
2020-04-03 16:00:00 2020-04-03 15:55:00 >> Portfolio Value: $96846.69, Cash: $76517.50
2020-04-03 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $244.93
2020-04-06 16:00:00 2020-04-06 15:55:00 >> Portfolio Value: $96554.53, Cash: $76517.50
2020-04-06 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $241.41
2020-04-07 16:00:00 2020-04-07 15:55:00 >> Portfolio Value: $98302.51, Cash: $76517.50
2020-04-07 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $262.47
2020-04-08 16:00:00 2020-04-08 15:55:00 >> Portfolio Value: $98050.19, Cash: $76517.50
2020-04-08 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $259.43
2020-04-08 16:00:00 2020-04-08 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $266.07 (+10% from last buy)
2020-04-09 16:00:00 2020-04-09 15:55:00 >> Portfolio Value: $98601.31, Cash: $76517.50
2020-04-09 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $266.07
2020-04-09 16:00:00 2020-04-09 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $267.99 (+10% from last buy)
2020-04-13 16:00:00 2020-04-13 15:55:00 >> Portfolio Value: $98760.67, Cash: $76517.50
2020-04-13 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $267.99
2020-04-13 16:00:00 2020-04-13 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $273.25 (+10% from last buy)
2020-04-14 16:00:00 2020-04-14 15:55:00 >> Portfolio Value: $99197.25, Cash: $76517.50
2020-04-14 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $273.25
2020-04-14 16:00:00 2020-04-14 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $287.05 (+10% from last buy)
2020-04-15 16:00:00 2020-04-15 15:55:00 >> Portfolio Value: $100342.65, Cash: $76517.50
2020-04-15 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $287.05
2020-04-15 16:00:00 2020-04-15 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $284.43 (+10% from last buy)
2020-04-16 16:00:00 2020-04-16 15:55:00 >> Portfolio Value: $100125.19, Cash: $76517.50
2020-04-16 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $284.43
2020-04-16 16:00:00 2020-04-16 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $286.69 (+10% from last buy)
2020-04-17 16:00:00 2020-04-17 15:55:00 >> Portfolio Value: $100312.77, Cash: $76517.50
2020-04-17 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $286.69
2020-04-17 16:00:00 2020-04-17 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $282.80 (+10% from last buy)
2020-04-20 16:00:00 2020-04-20 15:55:00 >> Portfolio Value: $99989.90, Cash: $76517.50
2020-04-20 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $282.80
2020-04-20 16:00:00 2020-04-20 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $276.93 (+10% from last buy)
2020-04-21 16:00:00 2020-04-21 15:55:00 >> Portfolio Value: $99502.69, Cash: $76517.50
2020-04-21 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $276.93
2020-04-21 16:00:00 2020-04-21 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $268.37 (+10% from last buy)
2020-04-22 16:00:00 2020-04-22 15:55:00 >> Portfolio Value: $98792.21, Cash: $76517.50
2020-04-22 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $268.37
2020-04-22 16:00:00 2020-04-22 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $276.10 (+10% from last buy)
2020-04-23 16:00:00 2020-04-23 15:55:00 >> Portfolio Value: $99433.80, Cash: $76517.50
2020-04-23 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $276.10
2020-04-23 16:00:00 2020-04-23 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $275.03 (+10% from last buy)
2020-04-24 16:00:00 2020-04-24 15:55:00 >> Portfolio Value: $99344.99, Cash: $76517.50
2020-04-24 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $275.03
2020-04-24 16:00:00 2020-04-24 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $282.97 (+10% from last buy)
2020-04-27 16:00:00 2020-04-27 15:55:00 >> Portfolio Value: $100004.01, Cash: $76517.50
2020-04-27 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $282.97
2020-04-27 16:00:00 2020-04-27 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $283.17 (+10% from last buy)
2020-04-28 16:00:00 2020-04-28 15:55:00 >> Portfolio Value: $100020.61, Cash: $76517.50
2020-04-28 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $283.17
2020-04-28 16:00:00 2020-04-28 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $278.58 (+10% from last buy)
2020-04-29 16:00:00 2020-04-29 15:55:00 >> Portfolio Value: $99639.64, Cash: $76517.50
2020-04-29 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $278.58
2020-04-29 16:00:00 2020-04-29 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $287.73 (+10% from last buy)
2020-04-30 16:00:00 2020-04-30 15:55:00 >> Portfolio Value: $100399.09, Cash: $76517.50
2020-04-30 16:00:00    AAPL: 83.0 shares, Avg Price: $279.17, Current: $287.73
2020-04-30 16:00:00 2020-04-30 16:00:00 >> SIGNAL: Consider selling covered call on AAPL at $293.80 (+10% from last buy)
2020-05-01 10:00:00 2020-05-01 10:00:00 >> Monthly rebalancing to target allocations
2020-05-01 10:00:00 2020-05-01 10:00:00 >> Skipping MSFT: No data available.
2020-05-01 10:00:00 2020-05-01 10:00:00 >> Skipping XOM: No data available.
2020-05-01 10:00:00 2020-05-01 10:00:00 >> Skipping GOLD: No data available.
2020-05-01 10:00:00 2020-05-01 10:00:00 >> Skipping NEE: No data available.
2020-05-01 16:00:00 2020-05-01 15:55:00 >> Portfolio Value: $100901.90, Cash: $80923.50
2020-05-01 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $293.80
2020-05-04 16:00:00 2020-05-04 15:55:00 >> Portfolio Value: $100580.26, Cash: $80923.50
2020-05-04 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $289.07
2020-05-05 16:00:00 2020-05-05 15:55:00 >> Portfolio Value: $100858.38, Cash: $80923.50
2020-05-05 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $293.16
2020-05-06 16:00:00 2020-05-06 15:55:00 >> Portfolio Value: $101157.58, Cash: $80923.50
2020-05-06 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $297.56
2020-05-07 16:00:00 2020-05-07 15:55:00 >> Portfolio Value: $101366.34, Cash: $80923.50
2020-05-07 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $300.63
2020-05-08 16:00:00 2020-05-08 15:55:00 >> Portfolio Value: $101633.58, Cash: $80979.26
2020-05-08 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $303.74
2020-05-11 16:00:00 2020-05-11 15:55:00 >> Portfolio Value: $102068.10, Cash: $80979.26
2020-05-11 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $310.13
2020-05-12 16:00:00 2020-05-12 15:55:00 >> Portfolio Value: $102399.94, Cash: $80979.26
2020-05-12 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $315.01
2020-05-13 16:00:00 2020-05-13 15:55:00 >> Portfolio Value: $102155.14, Cash: $80979.26
2020-05-13 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $311.41
2020-05-14 16:00:00 2020-05-14 15:55:00 >> Portfolio Value: $101899.46, Cash: $80979.26
2020-05-14 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $307.65
2020-05-15 16:00:00 2020-05-15 15:55:00 >> Portfolio Value: $102027.98, Cash: $80979.26
2020-05-15 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $309.54
2020-05-18 16:00:00 2020-05-18 15:55:00 >> Portfolio Value: $101903.54, Cash: $80979.26
2020-05-18 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $307.71
2020-05-19 16:00:00 2020-05-19 15:55:00 >> Portfolio Value: $102396.54, Cash: $80979.26
2020-05-19 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $314.96
2020-05-20 16:00:00 2020-05-20 15:55:00 >> Portfolio Value: $102272.78, Cash: $80979.26
2020-05-20 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $313.14
2020-05-21 16:00:00 2020-05-21 15:55:00 >> Portfolio Value: $102686.90, Cash: $80979.26
2020-05-21 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $319.23
2020-05-22 16:00:00 2020-05-22 15:55:00 >> Portfolio Value: $102525.06, Cash: $80979.26
2020-05-22 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $316.85
2020-05-26 16:00:00 2020-05-26 15:55:00 >> Portfolio Value: $102663.78, Cash: $80979.26
2020-05-26 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $318.89
2020-05-27 16:00:00 2020-05-27 15:55:00 >> Portfolio Value: $102516.90, Cash: $80979.26
2020-05-27 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $316.73
2020-05-28 16:00:00 2020-05-28 15:55:00 >> Portfolio Value: $102610.74, Cash: $80979.26
2020-05-28 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $318.11
2020-05-29 16:00:00 2020-05-29 15:55:00 >> Portfolio Value: $102620.26, Cash: $80979.26
2020-05-29 16:00:00    AAPL: 68.0 shares, Avg Price: $279.17, Current: $318.25
2020-06-01 10:00:00 2020-06-01 10:00:00 >> Monthly rebalancing to target allocations
2020-06-01 10:00:00 2020-06-01 10:00:00 >> Skipping MSFT: No data available.
2020-06-01 10:00:00 2020-06-01 10:00:00 >> Skipping XOM: No data available.
2020-06-01 10:00:00 2020-06-01 10:00:00 >> Skipping GOLD: No data available.
2020-06-01 10:00:00 2020-06-01 10:00:00 >> Skipping NEE: No data available.
2020-06-01 16:00:00 2020-06-01 15:55:00 >> Portfolio Value: $102598.18, Cash: $82250.02
2020-06-01 16:00:00    AAPL: 64.0 shares, Avg Price: $279.17, Current: $317.94
2020-06-02 16:00:00 2020-06-02 15:55:00 >> Portfolio Value: $102848.42, Cash: $82250.02
2020-06-02 16:00:00    AAPL: 64.0 shares, Avg Price: $279.17, Current: $321.85
2020-06-03 16:00:00 2020-06-03 15:55:00 >> Portfolio Value: $102943.78, Cash: $82250.02
